,Instance,Radii,n_N,n_B,Strength,A4,Gap,Runtime,Time_Prepro,NodeCount,ObjVal,Runtime_h,ObjVal_h
79,6,0.25,18,32,True,False,0.003956503823852573,3600.370851993561,52.566723346710205,171575.0,54.32466557629308,,
80,6,0.5,18,32,True,False,,,,,,,
81,6,1.0,18,32,True,False,,,,,,,
82,7,0.25,18,36,True,False,0.015097675766335032,3600.492744922638,65.60180449485779,134804.0,54.76279067943359,,
83,7,0.5,18,36,True,False,0.26990798150258194,3600.4996778964996,69.64244627952576,71598.0,56.83600136970967,,
84,7,1.0,18,36,True,False,,,,,,,
85,8,0.25,18,28,True,False,0.06242519235520053,3600.3670539855957,39.79401445388794,64156.0,51.56842733652618,,
86,8,0.5,18,28,True,False,0.1899985567343227,3600.3536319732666,41.69924259185791,48310.0,47.69328383954468,,
87,8,1.0,18,28,True,False,,,,,,,
88,9,0.25,18,35,True,False,6.829237343666676e-06,860.3446609973907,59.436033725738525,27258.0,52.68761102438488,,
89,9,0.5,18,35,True,False,0.1730137988959961,3600.456694841385,59.433982610702515,140115.0,48.75817075545359,,
90,9,1.0,18,35,True,False,,,,,,,
91,0,0.25,20,33,True,False,0.05007431909426118,3600.4326798915863,60.28247666358948,118739.0,57.207935031372315,,
92,0,0.5,20,33,True,False,0.3136572083271452,3600.4705390930176,62.642510652542114,80417.0,60.325281758117946,,
93,0,1.0,20,33,True,False,,,,,,,
94,1,0.25,20,35,True,False,7.351056045641311e-05,1902.0922830104828,68.71133947372437,46024.0,49.50358661972337,,
95,1,0.5,20,35,True,False,0.3483132591091199,3600.4999129772186,71.10806059837341,155743.0,52.38904258648244,,
96,1,1.0,20,35,True,False,,,,,,,
97,2,0.25,20,31,True,False,0.04865658034199332,3600.4068551063538,51.48063898086548,66706.0,51.720962001823764,,
98,2,0.5,20,31,True,False,,,,,,,
99,2,1.0,20,31,True,False,,,,,,,
100,3,0.25,20,42,True,False,0.021894456467649648,3600.696095943451,95.15491604804993,131997.0,52.7755066840791,,
101,3,0.5,20,42,True,False,0.26858519874366626,3600.7571351528168,98.74686932563782,46905.0,54.27132809978607,,
102,3,1.0,20,42,True,False,,,,,,,
103,4,0.25,20,43,True,False,0.017099099049984995,3600.85050201416,99.06288290023804,81237.0,62.50667404515431,,
104,4,0.5,20,43,True,False,0.239172967121944,3600.735666036606,100.92462182044983,123944.0,60.90263139960974,,
105,4,1.0,20,43,True,False,,,,,,,
106,5,0.25,20,36,True,False,0.04190394171065926,3600.5436351299286,68.94811773300171,176555.0,53.9416424492548,,
107,5,0.5,20,36,True,False,0.6623372399991804,3600.7180140018463,70.21958422660828,156704.0,112.11378306710522,,
108,5,1.0,20,36,True,False,,,,,,,
109,6,0.25,20,39,True,False,0.05558529860285888,3600.7528681755066,82.52303099632263,63050.0,54.47813676221965,,
110,6,0.5,20,39,True,False,0.34452614164015244,3600.809441804886,83.55984210968018,78179.0,57.00913294613413,,
111,6,1.0,20,39,True,False,,,,,,,
112,7,0.25,20,35,True,False,6.866084684109072e-05,1644.028687953949,64.35642743110657,49198.0,54.0133752276473,,
113,7,0.5,20,35,True,False,0.2433510248701121,3600.4907228946686,67.33650326728821,46458.0,51.321477445913175,,
114,7,1.0,20,35,True,False,,,,,,,
115,8,0.25,20,40,True,False,0.10317379801595744,3600.7240130901337,92.83419823646545,156735.0,59.444420722548614,,
116,8,0.5,20,40,True,False,0.2533617267045755,3600.7067568302155,93.61976552009583,90930.0,59.00281426776805,,
117,8,1.0,20,40,True,False,,,,,,,
118,9,0.25,20,36,True,False,1.1277707786057883e-05,1650.1186978816986,69.17431902885437,29099.0,55.281349366875055,,
119,9,0.5,20,36,True,False,0.24218273515115604,3600.488515138626,72.11050915718079,95551.0,52.35256393563267,,
120,9,1.0,20,36,True,False,,,,,,,
